gene1,gene2,gene1_valid,gene2_valid,string_interaction_found,string_combined_score,string_evidence_breakdown,string_source_url,string_curated_overlap_risk,biogrid_interaction_found,biogrid_evidence_count,biogrid_experimental_systems,biogrid_pubmed_ids,biogrid_source_url,tissue,gene1_tissue_expression,gene2_tissue_expression,verdict,notes
NHP2,RPS29,True,True,True,0.727,coexpression=0.427; experimental=0.416; textmining=0.239; neighborhood=0.057,https://string-db.org/cgi/network?identifiers=NHP2%0dRPS29&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=NHP2%20RPS29,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
FANCF,PALB2,True,True,True,0.835,textmining=0.832; coexpression=0.060,https://string-db.org/cgi/network?identifiers=FANCF%0dPALB2&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=FANCF%20PALB2,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
BRCA2,SLX4,True,True,True,0.879,textmining=0.768; curated_database=0.500,https://string-db.org/cgi/network?identifiers=BRCA2%0dSLX4&species=9606,high,True,2,Affinity Capture-MS; Proximity Label-MS,37059091; 37071664,https://thebiogrid.org/search.php?search=BRCA2%20SLX4,bone marrow,expressed (nTPM=5.2),inconclusive (Detected in many),concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration."
BRCA1,STN1,True,True,True,0.753,textmining=0.577; experimental=0.421; coexpression=0.074,https://string-db.org/cgi/network?identifiers=BRCA1%0dSTN1&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=BRCA1%20STN1,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
KIF23,RPS24,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=KIF23%0dRPS24&species=9606,not_applicable,True,1,Affinity Capture-MS,31586073,https://thebiogrid.org/search.php?search=KIF23%20RPS24,bone marrow,expressed (nTPM=20.4),expressed (broadly_detected),discordant,Only BioGRID reports evidence; the other source does not.
ANKRD26,SAMD9,True,True,True,0.48,textmining=0.479; coexpression=0.044,https://string-db.org/cgi/network?identifiers=ANKRD26%0dSAMD9&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=ANKRD26%20SAMD9,bone marrow,expressed (broadly_detected),inconclusive (Detected in many),discordant,Only StringDB reports evidence; the other source does not.
BRIP1,NHP2,True,True,True,0.418,textmining=0.408; coexpression=0.057,https://string-db.org/cgi/network?identifiers=BRIP1%0dNHP2&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=BRIP1%20NHP2,bone marrow,expressed (nTPM=2.6),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
RPL27,RPS15A,True,True,True,0.999,experimental=0.972; coexpression=0.940; textmining=0.741; neighborhood=0.057,https://string-db.org/cgi/network?identifiers=RPL27%0dRPS15A&species=9606,none,True,2,Co-fractionation,22939629; 26344197,https://thebiogrid.org/search.php?search=RPL27%20RPS15A,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
PTPN11,RUNX1,True,True,True,0.96,curated_database=0.900; textmining=0.611; coexpression=0.070,https://string-db.org/cgi/network?identifiers=PTPN11%0dRUNX1&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=PTPN11%20RUNX1,bone marrow,expressed (broadly_detected),expressed (nTPM=42.9),discordant,Only StringDB reports evidence; the other source does not.
PUS1,YARS2,True,True,True,0.956,textmining=0.941; experimental=0.187; coexpression=0.162,https://string-db.org/cgi/network?identifiers=PUS1%0dYARS2&species=9606,none,True,1,Affinity Capture-MS,33961781,https://thebiogrid.org/search.php?search=PUS1%20YARS2,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
GATA1,MPL,True,True,True,0.651,textmining=0.608; coexpression=0.146,https://string-db.org/cgi/network?identifiers=GATA1%0dMPL&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=GATA1%20MPL,bone marrow,expressed (nTPM=55.7),inconclusive (Detected in some),discordant,Only StringDB reports evidence; the other source does not.
RPS27A,RPS28,True,True,True,0.999,experimental=0.991; coexpression=0.980; curated_database=0.900; textmining=0.465,https://string-db.org/cgi/network?identifiers=RPS27A%0dRPS28&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=RPS27A%20RPS28,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
DKC1,NHP2,True,True,True,0.999,textmining=0.999; experimental=0.997; curated_database=0.900; coexpression=0.856; neighborhood=0.061,https://string-db.org/cgi/network?identifiers=DKC1%0dNHP2&species=9606,high,True,6,Affinity Capture-MS; Affinity Capture-Western; Co-fractionation,19095616; 22939629; 26344197; 33961781; 35271311; 35831314,https://thebiogrid.org/search.php?search=DKC1%20NHP2,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration."
ATM,RAD51,True,True,True,0.995,textmining=0.958; curated_database=0.800; experimental=0.485,https://string-db.org/cgi/network?identifiers=ATM%0dRAD51&species=9606,high,True,2,Affinity Capture-Western,10212258,https://thebiogrid.org/search.php?search=ATM%20RAD51,bone marrow,expressed (broadly_detected),inconclusive (Detected in many),concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration."
RPL27,RPS24,True,True,True,0.999,experimental=0.992; coexpression=0.991; textmining=0.868,https://string-db.org/cgi/network?identifiers=RPL27%0dRPS24&species=9606,none,True,1,Co-fractionation,22939629,https://thebiogrid.org/search.php?search=RPL27%20RPS24,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
ERCC4,RAD51,True,True,True,0.927,textmining=0.691; experimental=0.619; curated_database=0.400; coexpression=0.094,https://string-db.org/cgi/network?identifiers=ERCC4%0dRAD51&species=9606,low,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=ERCC4%20RAD51,bone marrow,expressed (broadly_detected),inconclusive (Detected in many),discordant,Only StringDB reports evidence; the other source does not.
ERCC4,LIG4,True,True,True,0.965,curated_database=0.900; textmining=0.624; coexpression=0.109; experimental=0.091,https://string-db.org/cgi/network?identifiers=ERCC4%0dLIG4&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=ERCC4%20LIG4,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
ATR,TERT,True,True,True,0.632,textmining=0.558; experimental=0.202,https://string-db.org/cgi/network?identifiers=ATR%0dTERT&species=9606,none,True,1,Dosage Rescue,23284306,https://thebiogrid.org/search.php?search=ATR%20TERT,bone marrow,inconclusive (Detected in many),not_detected,concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: interaction evidence exists, but TERT is not detected in 'bone marrow' per HPA -- biological relevance in this tissue is questionable."
FANCG,FANCI,True,True,True,0.999,textmining=0.952; curated_database=0.900; experimental=0.800; coexpression=0.336,https://string-db.org/cgi/network?identifiers=FANCG%0dFANCI&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=FANCG%20FANCI,bone marrow,inconclusive (Detected in many),expressed (nTPM=28.0),discordant,Only StringDB reports evidence; the other source does not.
JAK2,PAX5,True,True,True,0.673,textmining=0.668; coexpression=0.055,https://string-db.org/cgi/network?identifiers=JAK2%0dPAX5&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=JAK2%20PAX5,bone marrow,expressed (broadly_detected),inconclusive (Detected in some),discordant,Only StringDB reports evidence; the other source does not.
ITGB3,KRAS,True,True,True,0.621,curated_database=0.500; textmining=0.253; coexpression=0.061; experimental=0.048,https://string-db.org/cgi/network?identifiers=ITGB3%0dKRAS&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=ITGB3%20KRAS,bone marrow,inconclusive (Detected in many),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
HAX1,VPS13B,True,True,True,0.406,textmining=0.371; experimental=0.095,https://string-db.org/cgi/network?identifiers=HAX1%0dVPS13B&species=9606,none,True,1,Proximity Label-MS,32877691,https://thebiogrid.org/search.php?search=HAX1%20VPS13B,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
EFL1,SBDS,True,True,True,0.999,textmining=0.978; experimental=0.974; coexpression=0.164; neighborhood=0.106,https://string-db.org/cgi/network?identifiers=EFL1%0dSBDS&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=EFL1%20SBDS,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
FANCF,FANCL,True,True,True,0.999,textmining=0.999; experimental=0.998; curated_database=0.900; coexpression=0.044,https://string-db.org/cgi/network?identifiers=FANCF%0dFANCL&species=9606,high,True,4,Affinity Capture-Western; Co-localization; Reconstituted Complex,16474167; 16720839; 24910428; 27986371,https://thebiogrid.org/search.php?search=FANCF%20FANCL,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration."
RPL27,RPS7,True,True,True,0.999,experimental=0.992; coexpression=0.982; textmining=0.438,https://string-db.org/cgi/network?identifiers=RPL27%0dRPS7&species=9606,none,True,1,Co-fractionation,26344197,https://thebiogrid.org/search.php?search=RPL27%20RPS7,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
BLM,ERCC4,True,True,True,0.819,textmining=0.476; experimental=0.452; curated_database=0.400; coexpression=0.074,https://string-db.org/cgi/network?identifiers=BLM%0dERCC4&species=9606,low,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=BLM%20ERCC4,bone marrow,expressed (nTPM=5.3),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
DKC1,RPL26,True,True,True,0.487,textmining=0.282; experimental=0.208; coexpression=0.125; neighborhood=0.091,https://string-db.org/cgi/network?identifiers=DKC1%0dRPL26&species=9606,none,True,1,Affinity Capture-MS,33961781,https://thebiogrid.org/search.php?search=DKC1%20RPL26,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
MYH9,SAMD9,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=MYH9%0dSAMD9&species=9606,not_applicable,True,3,Affinity Capture-Western; Reconstituted Complex,36757050,https://thebiogrid.org/search.php?search=MYH9%20SAMD9,bone marrow,expressed (broadly_detected),inconclusive (Detected in many),discordant,Only BioGRID reports evidence; the other source does not.
RBM8A,STK4,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=RBM8A%0dSTK4&species=9606,not_applicable,True,2,Affinity Capture-MS; Proximity Label-MS,39664081,https://thebiogrid.org/search.php?search=RBM8A%20STK4,bone marrow,expressed (broadly_detected),expressed (nTPM=46.4),discordant,Only BioGRID reports evidence; the other source does not.
SH2B3,TP53,True,True,True,0.402,textmining=0.400; coexpression=0.045,https://string-db.org/cgi/network?identifiers=SH2B3%0dTP53&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=SH2B3%20TP53,bone marrow,expressed (nTPM=57.3),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
MPL,RBM8A,True,True,True,0.487,textmining=0.487,https://string-db.org/cgi/network?identifiers=MPL%0dRBM8A&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=MPL%20RBM8A,bone marrow,inconclusive (Detected in some),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
RPL11,RPL35A,True,True,True,0.999,experimental=0.992; coexpression=0.991; textmining=0.915,https://string-db.org/cgi/network?identifiers=RPL11%0dRPL35A&species=9606,none,True,1,Co-fractionation,26344197,https://thebiogrid.org/search.php?search=RPL11%20RPL35A,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
KRAS,TSR2,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=KRAS%0dTSR2&species=9606,not_applicable,True,1,Negative Genetic,34373451,https://thebiogrid.org/search.php?search=KRAS%20TSR2,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only BioGRID reports evidence; the other source does not.
GATA2,ITGA2B,True,True,True,0.549,textmining=0.527; coexpression=0.085,https://string-db.org/cgi/network?identifiers=GATA2%0dITGA2B&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=GATA2%20ITGA2B,bone marrow,inconclusive (Detected in many),expressed (nTPM=15.7),discordant,Only StringDB reports evidence; the other source does not.
FANCC,RAD51,True,True,True,0.882,textmining=0.877; coexpression=0.082,https://string-db.org/cgi/network?identifiers=FANCC%0dRAD51&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=FANCC%20RAD51,bone marrow,inconclusive (Detected in many),inconclusive (Detected in many),discordant,Only StringDB reports evidence; the other source does not.
ITGB3,RUNX1,True,True,True,0.4,textmining=0.371; coexpression=0.085,https://string-db.org/cgi/network?identifiers=ITGB3%0dRUNX1&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=ITGB3%20RUNX1,bone marrow,inconclusive (Detected in many),expressed (nTPM=42.9),discordant,Only StringDB reports evidence; the other source does not.
BRCA1,ERCC4,True,True,True,0.914,textmining=0.674; curated_database=0.540; experimental=0.439; coexpression=0.102,https://string-db.org/cgi/network?identifiers=BRCA1%0dERCC4&species=9606,high,True,1,Proximity Label-MS,29656893,https://thebiogrid.org/search.php?search=BRCA1%20ERCC4,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration."
NOP10,RPL5,True,True,True,0.418,textmining=0.352; coexpression=0.139,https://string-db.org/cgi/network?identifiers=NOP10%0dRPL5&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=NOP10%20RPL5,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
GATA1,JAK2,True,True,True,0.599,textmining=0.540; coexpression=0.117; experimental=0.093,https://string-db.org/cgi/network?identifiers=GATA1%0dJAK2&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=GATA1%20JAK2,bone marrow,expressed (nTPM=55.7),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
NHP2,RPS15,True,True,True,0.898,coexpression=0.717; experimental=0.536; textmining=0.244; neighborhood=0.098,https://string-db.org/cgi/network?identifiers=NHP2%0dRPS15&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=NHP2%20RPS15,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
FANCA,FANCF,True,True,True,0.999,textmining=0.999; experimental=0.998; curated_database=0.900; coexpression=0.049,https://string-db.org/cgi/network?identifiers=FANCA%0dFANCF&species=9606,high,True,25,Affinity Capture-Luminescence; Affinity Capture-MS; Affinity Capture-Western; Reconstituted Complex; Two-hybrid,11063725; 11750104; 12444097; 12724401; 12973351; 15082718; 15262960; 16116422; 16720839; 17082180; 17396147; 18550849; 19321451; 20064461; 20347428; +7 more,https://thebiogrid.org/search.php?search=FANCA%20FANCF,bone marrow,inconclusive (Detected in many),expressed (broadly_detected),concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration."
FANCD2,RPS24,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=FANCD2%0dRPS24&species=9606,not_applicable,True,1,Affinity Capture-MS,31180492,https://thebiogrid.org/search.php?search=FANCD2%20RPS24,bone marrow,expressed (nTPM=12.8),expressed (broadly_detected),discordant,Only BioGRID reports evidence; the other source does not.
CTC1,NHEJ1,True,True,True,0.471,textmining=0.467; coexpression=0.049,https://string-db.org/cgi/network?identifiers=CTC1%0dNHEJ1&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=CTC1%20NHEJ1,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
RPL18,RPS15A,True,True,True,0.997,experimental=0.973; coexpression=0.822; textmining=0.547; neighborhood=0.042,https://string-db.org/cgi/network?identifiers=RPL18%0dRPS15A&species=9606,none,True,2,Co-fractionation,22939629; 26344197,https://thebiogrid.org/search.php?search=RPL18%20RPS15A,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
RPS24,RPS26,True,True,True,0.999,experimental=0.992; coexpression=0.990; textmining=0.962; curated_database=0.900,https://string-db.org/cgi/network?identifiers=RPS24%0dRPS26&species=9606,high,True,2,Co-fractionation,22863883; 22939629,https://thebiogrid.org/search.php?search=RPS24%20RPS26,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration."
CXCR4,EPO,True,True,True,0.664,textmining=0.664,https://string-db.org/cgi/network?identifiers=CXCR4%0dEPO&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=CXCR4%20EPO,bone marrow,expressed (nTPM=1175.0),inconclusive (Detected in some),discordant,Only StringDB reports evidence; the other source does not.
SLX4,UBE2T,True,True,True,0.853,textmining=0.717; curated_database=0.500; coexpression=0.047,https://string-db.org/cgi/network?identifiers=SLX4%0dUBE2T&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=SLX4%20UBE2T,bone marrow,inconclusive (Detected in many),inconclusive (Detected in many),discordant,Only StringDB reports evidence; the other source does not.
ABCB7,ALAS2,True,True,True,0.907,textmining=0.901; coexpression=0.097,https://string-db.org/cgi/network?identifiers=ABCB7%0dALAS2&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=ABCB7%20ALAS2,bone marrow,expressed (broadly_detected),expressed (nTPM=571.0),discordant,Only StringDB reports evidence; the other source does not.
KIF23,MASTL,True,True,True,0.63,coexpression=0.623; textmining=0.059,https://string-db.org/cgi/network?identifiers=KIF23%0dMASTL&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=KIF23%20MASTL,bone marrow,expressed (nTPM=20.4),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
MECOM,RUNX1,True,True,True,0.988,curated_database=0.900; textmining=0.889; experimental=0.067; coexpression=0.042,https://string-db.org/cgi/network?identifiers=MECOM%0dRUNX1&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=MECOM%20RUNX1,bone marrow,inconclusive (Detected in many),expressed (nTPM=42.9),discordant,Only StringDB reports evidence; the other source does not.
BRCA1,KIF23,True,True,True,0.713,experimental=0.439; coexpression=0.410; textmining=0.202,https://string-db.org/cgi/network?identifiers=BRCA1%0dKIF23&species=9606,none,True,2,Affinity Capture-MS; Proximity Label-MS,26831064; 29656893,https://thebiogrid.org/search.php?search=BRCA1%20KIF23,bone marrow,expressed (broadly_detected),expressed (nTPM=20.4),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
RPL27,RPL35A,True,True,True,0.999,coexpression=0.993; experimental=0.992; textmining=0.726,https://string-db.org/cgi/network?identifiers=RPL27%0dRPL35A&species=9606,none,True,1,Co-fractionation,26344197,https://thebiogrid.org/search.php?search=RPL27%20RPL35A,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
CSF3R,KIT,True,True,True,0.753,textmining=0.728; coexpression=0.128,https://string-db.org/cgi/network?identifiers=CSF3R%0dKIT&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=CSF3R%20KIT,bone marrow,expressed (nTPM=183.7),inconclusive (Detected in many),discordant,Only StringDB reports evidence; the other source does not.
ITGB3,TUBB1,True,True,True,0.547,textmining=0.348; coexpression=0.335,https://string-db.org/cgi/network?identifiers=ITGB3%0dTUBB1&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=ITGB3%20TUBB1,bone marrow,inconclusive (Detected in many),expressed (nTPM=8.0),discordant,Only StringDB reports evidence; the other source does not.
AK2,DUT,True,True,True,0.564,textmining=0.272; experimental=0.235; curated_database=0.216; coexpression=0.119; neighborhood=0.042,https://string-db.org/cgi/network?identifiers=AK2%0dDUT&species=9606,low,True,1,Co-fractionation,26344197,https://thebiogrid.org/search.php?search=AK2%20DUT,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
FANCF,RAD51C,True,True,True,0.823,textmining=0.822; coexpression=0.049,https://string-db.org/cgi/network?identifiers=FANCF%0dRAD51C&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=FANCF%20RAD51C,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
RPS15,RPS15A,True,True,True,0.999,experimental=0.972; coexpression=0.946; curated_database=0.900; textmining=0.565; neighborhood=0.091,https://string-db.org/cgi/network?identifiers=RPS15%0dRPS15A&species=9606,high,True,3,Co-fractionation,22939629; 26344197; 35831314,https://thebiogrid.org/search.php?search=RPS15%20RPS15A,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration."
RPL11,RPS27A,True,True,True,0.999,experimental=0.993; coexpression=0.992; textmining=0.688,https://string-db.org/cgi/network?identifiers=RPL11%0dRPS27A&species=9606,none,True,4,Affinity Capture-Western; Co-fractionation; Reconstituted Complex,22939629; 35073964,https://thebiogrid.org/search.php?search=RPL11%20RPS27A,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
ATM,NBN,True,True,True,0.999,experimental=0.989; textmining=0.935; curated_database=0.900; coexpression=0.049,https://string-db.org/cgi/network?identifiers=ATM%0dNBN&species=9606,high,True,17,Affinity Capture-MS; Affinity Capture-Western; Co-localization; Co-purification; Protein-peptide; Reconstituted Complex,10608806; 10783165; 15758953; 16982765; 17507690; 21150274; 22464731; 24800743; 25088203; 30952868,https://thebiogrid.org/search.php?search=ATM%20NBN,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration."
FANCE,UBE2T,True,True,True,0.993,textmining=0.843; experimental=0.805; curated_database=0.800; coexpression=0.117,https://string-db.org/cgi/network?identifiers=FANCE%0dUBE2T&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=FANCE%20UBE2T,bone marrow,inconclusive (Detected in many),inconclusive (Detected in many),discordant,Only StringDB reports evidence; the other source does not.
FANCF,RPS27A,True,True,True,0.508,curated_database=0.500; textmining=0.058,https://string-db.org/cgi/network?identifiers=FANCF%0dRPS27A&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=FANCF%20RPS27A,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
RPS29,STK4,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=RPS29%0dSTK4&species=9606,not_applicable,True,2,Affinity Capture-MS; Proximity Label-MS,39664081,https://thebiogrid.org/search.php?search=RPS29%20STK4,bone marrow,expressed (broadly_detected),expressed (nTPM=46.4),discordant,Only BioGRID reports evidence; the other source does not.
MYH9,STK4,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=MYH9%0dSTK4&species=9606,not_applicable,True,2,Affinity Capture-MS; Proximity Label-MS,39664081,https://thebiogrid.org/search.php?search=MYH9%20STK4,bone marrow,expressed (broadly_detected),expressed (nTPM=46.4),discordant,Only BioGRID reports evidence; the other source does not.
CYCS,RBM8A,True,True,True,0.518,textmining=0.508; coexpression=0.062,https://string-db.org/cgi/network?identifiers=CYCS%0dRBM8A&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=CYCS%20RBM8A,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
MECOM,RPL5,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=MECOM%0dRPL5&species=9606,not_applicable,True,1,Affinity Capture-MS,30462309,https://thebiogrid.org/search.php?search=MECOM%20RPL5,bone marrow,inconclusive (Detected in many),expressed (broadly_detected),discordant,Only BioGRID reports evidence; the other source does not.
JAK2,SAMD9L,True,True,True,0.416,coexpression=0.300; textmining=0.153; experimental=0.095,https://string-db.org/cgi/network?identifiers=JAK2%0dSAMD9L&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=JAK2%20SAMD9L,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
FANCE,RPL15,True,True,True,0.976,experimental=0.839; coexpression=0.828; textmining=0.209,https://string-db.org/cgi/network?identifiers=FANCE%0dRPL15&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=FANCE%20RPL15,bone marrow,inconclusive (Detected in many),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
SBDS,TP53,True,True,True,0.512,textmining=0.339; experimental=0.292,https://string-db.org/cgi/network?identifiers=SBDS%0dTP53&species=9606,none,True,3,Affinity Capture-Western; Co-localization,32198344,https://thebiogrid.org/search.php?search=SBDS%20TP53,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
