gene1,gene2,gene1_valid,gene2_valid,string_interaction_found,string_combined_score,string_evidence_breakdown,string_source_url,string_curated_overlap_risk,biogrid_interaction_found,biogrid_evidence_count,biogrid_experimental_systems,biogrid_pubmed_ids,biogrid_source_url,tissue,gene1_tissue_expression,gene2_tissue_expression,verdict,notes
CDAN1,KLF1,True,True,True,0.742,textmining=0.742; coexpression=0.044,https://string-db.org/cgi/network?identifiers=CDAN1%0dKLF1&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=CDAN1%20KLF1,bone marrow,expressed (broadly_detected),expressed (nTPM=38.8),discordant,Only StringDB reports evidence; the other source does not.
EFL1,RPS15A,True,True,True,0.618,coexpression=0.394; experimental=0.320; textmining=0.134; neighborhood=0.057,https://string-db.org/cgi/network?identifiers=EFL1%0dRPS15A&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=EFL1%20RPS15A,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
DKC1,TERF2IP,True,True,True,0.715,curated_database=0.500; textmining=0.447; coexpression=0.054,https://string-db.org/cgi/network?identifiers=DKC1%0dTERF2IP&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=DKC1%20TERF2IP,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
RPL15,RPL26,True,True,True,0.999,experimental=0.984; coexpression=0.959; textmining=0.753,https://string-db.org/cgi/network?identifiers=RPL15%0dRPL26&species=9606,none,True,3,Affinity Capture-MS; Co-fractionation,22863883; 26344197; 33961781,https://thebiogrid.org/search.php?search=RPL15%20RPL26,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
FANCI,XRCC2,True,True,True,0.586,textmining=0.545; coexpression=0.127,https://string-db.org/cgi/network?identifiers=FANCI%0dXRCC2&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=FANCI%20XRCC2,bone marrow,expressed (nTPM=28.0),expressed (nTPM=5.5),discordant,Only StringDB reports evidence; the other source does not.
RPS15,SLX4,True,True,True,0.402,coexpression=0.292; textmining=0.136; experimental=0.101,https://string-db.org/cgi/network?identifiers=RPS15%0dSLX4&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=RPS15%20SLX4,bone marrow,expressed (broadly_detected),inconclusive (Detected in many),discordant,Only StringDB reports evidence; the other source does not.
KIF23,RPL11,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=KIF23%0dRPL11&species=9606,not_applicable,True,1,Affinity Capture-MS,31586073,https://thebiogrid.org/search.php?search=KIF23%20RPL11,bone marrow,expressed (nTPM=20.4),expressed (broadly_detected),discordant,Only BioGRID reports evidence; the other source does not.
AK2,RPL26,True,True,True,0.419,coexpression=0.409; neighborhood=0.058,https://string-db.org/cgi/network?identifiers=AK2%0dRPL26&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=AK2%20RPL26,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
BRCA1,LIG4,True,True,True,0.878,textmining=0.745; curated_database=0.540; coexpression=0.047,https://string-db.org/cgi/network?identifiers=BRCA1%0dLIG4&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=BRCA1%20LIG4,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
DKC1,RPL35A,True,True,True,0.402,textmining=0.328; coexpression=0.146,https://string-db.org/cgi/network?identifiers=DKC1%0dRPL35A&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=DKC1%20RPL35A,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
FANCE,SLX4,True,True,True,0.88,textmining=0.743; curated_database=0.500; coexpression=0.129; neighborhood=0.057,https://string-db.org/cgi/network?identifiers=FANCE%0dSLX4&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=FANCE%20SLX4,bone marrow,inconclusive (Detected in many),inconclusive (Detected in many),discordant,Only StringDB reports evidence; the other source does not.
ABCB7,TRNT1,True,True,True,0.41,textmining=0.389; coexpression=0.074,https://string-db.org/cgi/network?identifiers=ABCB7%0dTRNT1&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=ABCB7%20TRNT1,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
RUNX1,TP53,True,True,True,0.82,textmining=0.820,https://string-db.org/cgi/network?identifiers=RUNX1%0dTP53&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=RUNX1%20TP53,bone marrow,expressed (nTPM=42.9),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
DNAJC21,EFL1,True,True,True,0.724,textmining=0.721; coexpression=0.049,https://string-db.org/cgi/network?identifiers=DNAJC21%0dEFL1&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=DNAJC21%20EFL1,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
GATA1,TSR2,True,True,True,0.511,textmining=0.494; coexpression=0.073,https://string-db.org/cgi/network?identifiers=GATA1%0dTSR2&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=GATA1%20TSR2,bone marrow,expressed (nTPM=55.7),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
